Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"State v. Johnson, 2017 UT 76.txt",1,2289,22.72,2.23,2.71,1.09,1.35,1.97,1.66,0.87,3.15,2.53
"State v. Rushton, 2017 UT 21.txt",1,3116,30.91,1.19,2.89,2.25,2.09,2.82,1.77,0.48,2.86,3.24
"State v. Grunwald, 2020 UT 40.txt",1,7803,25.66,1.64,4.56,3.45,2.08,2.69,1.46,1.03,2.76,2.64
"State v. J.M.S., 2011 UT 75.txt",1,1276,31.19,2.27,4.39,2.82,1.02,3.06,1.41,0.47,2.98,4.62
"Fannie Mae v. Sundquist, 2013 UT 45.txt",1,1094,25.78,1.65,3.56,0.91,1.01,4.75,2.56,0.18,1.92,3.47
"Harvey v. Ute Indian Tribe of the Uintah & Ouray Reservation, 2017 UT 75.txt",1,3905,25.69,1.64,2.38,1.51,0.92,1.46,1.13,1.64,2.82,1.56
"Richards v. Cox, 2019 UT 57.txt",1,3861,30.17,2.20,4.43,2.10,1.09,3.76,1.06,0.93,3.94,3.39
"Marion Energy, Inc. v. KFJ Ranch P'ship, 2011 UT 37.txt",1,4676,28.06,1.71,4.17,2.76,1.56,3.12,1.07,0.77,3.87,3.40
"State v. Johnson, 2017 UT 70.txt",1,2289,22.67,2.23,2.71,1.09,1.35,1.97,1.66,0.87,3.15,2.53
"State v. McNeil, 2016 UT 3.txt",1,664,29.37,1.05,2.86,2.86,2.26,5.57,1.36,1.66,2.56,1.66
"L.E.S. v. C.D.M. (In re K.A.S.), 2016 UT 55.txt",1,7017,25.87,1.81,3.26,1.70,1.35,2.18,2.11,1.08,3.33,2.27
"State v. Mohamud, 2017 UT 23.txt",1,113,23.01,0.88,3.54,2.65,0.00,0.88,0.00,0.00,5.31,0.88
"R.C.S. v. A.O.L. (In re Baby Girl T.), 2012 UT 78.txt",1,2283,27.03,2.01,2.54,2.06,1.18,2.32,1.36,1.66,3.50,2.19
"State v. Tulley, 2018 UT 35.txt",1,523,27.72,1.34,2.87,2.49,0.57,2.87,0.96,0.38,4.21,2.10
"S. Salt Lake City v. Maese, 2019 UT 58.txt",1,1946,25.08,1.54,4.01,2.00,1.70,1.75,1.49,0.82,1.90,2.00
"State v. Larrabee, 2013 UT 70.txt",1,3890,28.64,1.44,3.75,2.31,1.90,2.21,1.41,1.47,3.03,2.24
"State v. Wilder, 2018 UT 17.txt",1,701,22.11,2.57,4.42,1.14,2.00,3.00,0.86,2.14,6.28,2.57
"Commercial Real Estate Inv. v. Comcast of Utah II, Inc., 2012 UT 49.txt",1,1541,30.05,1.43,4.61,2.60,1.82,2.53,1.23,0.58,3.44,1.95
"Kerr v. City of Salt Lake, 2013 UT 75.txt",1,915,26.12,1.09,4.81,1.86,1.20,2.51,1.42,1.31,2.95,1.97
"State v. Perea, 2013 UT 68.txt",1,468,25.64,2.78,2.99,0.85,2.35,2.56,2.56,0.64,4.06,3.63
"State v. Parduhn, 2011 UT 56.txt",1,6541,31.25,1.22,2.95,2.48,1.13,2.09,1.25,3.09,3.73,2.28
"Luna v. Luna, 2020 UT 63.txt",1,2820,25.18,1.28,3.44,1.84,1.63,2.73,1.99,1.24,3.01,2.62
"Penunuri v. Sundance Partners, LTD, 2013 UT 22.txt",1,156,32.05,0.64,2.56,3.21,3.85,1.92,0.00,0.64,1.28,1.28
"Gonzalez v. State, 2015 UT 10.txt",1,450,26.89,2.44,1.11,3.78,0.67,1.33,0.67,1.11,4.00,2.22
"V.B. v. A.S.A. (In re K.T.B.), 2020 UT 51.txt",1,13406,28.55,1.54,1.96,2.05,0.81,1.98,2.44,1.93,2.86,2.31
"Oliver v. Utah Labor Comm'n, 2017 UT 39.txt",1,4852,26.98,1.40,3.61,1.73,1.24,2.31,2.08,3.22,2.95,2.08
"Baumann v. Kroger Co., 2017 UT 80.txt",1,196,24.49,1.02,4.08,0.51,0.51,2.55,1.53,0.00,7.14,3.57
"Waite v. Utah Labor Comm'n, 2017 UT 86.txt",1,7947,24.46,1.23,3.40,2.05,1.38,2.40,1.84,1.50,4.48,2.29
"State v. Parduhn, 2011 UT 57.txt",1,6540,31.24,1.22,2.95,2.48,1.13,2.09,1.25,3.09,3.73,2.28
"State v. Parduhn, 2011 UT 55.txt",1,6541,31.25,1.22,2.95,2.48,1.13,2.09,1.25,3.09,3.73,2.28
"State v. Hutchings, 2012 UT 50.txt",1,1199,30.28,1.42,4.42,4.84,1.83,2.84,1.92,0.67,3.84,2.42
"Haik v. Jones, 2018 UT 39.txt",1,937,26.04,2.03,2.13,1.39,2.77,2.56,1.17,1.39,2.45,3.31
"State v. Billingsley, 2013 UT 17.txt",1,868,28.11,1.73,4.26,1.73,1.73,1.61,1.27,1.04,2.88,3.23
"State v. Argueta, 2020 UT 41.txt",1,5236,27.12,1.78,4.20,2.02,0.65,1.68,1.26,1.45,3.11,2.08
"Quast v. Utah Labor Comm'n, 2017 UT 40.txt",1,413,24.70,0.24,3.15,1.69,0.73,0.97,3.15,2.42,1.21,1.45
"Ipsen v. Diamond Tree Experts, Inc., 2020 UT 30.txt",1,2543,26.66,1.30,3.74,2.75,0.55,1.85,1.38,2.32,4.33,1.57
"Brown v. State, 2013 UT 42.txt",1,7455,23.92,1.54,4.17,1.57,1.15,2.32,3.11,0.56,3.02,1.86
"State v. Moore, 2012 UT 62.txt",1,1505,23.92,1.86,3.32,2.86,3.52,4.32,1.53,0.93,3.26,3.46
"Salt Lake City v. Miles, 2014 UT 47.txt",1,2333,25.76,1.97,3.56,5.49,1.16,2.66,1.29,0.56,2.61,3.26
"Marion Energy, Inc. v. KFJ Ranch P'ship, 2011 UT 50.txt",1,4676,28.06,1.71,4.17,2.76,1.56,3.12,1.07,0.77,3.87,3.40
"Thayer v. Wash. County Sch. Dist., 2012 UT 31.txt",1,4499,30.27,1.27,3.16,2.76,1.82,3.09,1.13,0.87,3.02,3.07
"State v. Noor, 2019 UT 3.txt",1,5665,25.38,0.99,2.74,1.99,0.85,2.19,1.68,1.36,3.27,2.21
"Brady v. Park, 2019 UT 16.txt",1,4854,26.58,1.57,6.88,2.70,2.22,3.52,2.08,0.74,3.15,2.74
"Utah Down Syndrome Found., Inc. v. Utah Down Syndrome Ass'n, 2012 UT 86.txt",1,4781,23.82,1.90,2.72,1.53,1.72,2.22,1.86,1.19,2.66,2.66
"Gailey v. State, 2016 UT 35.txt",1,1045,22.01,2.68,2.68,2.30,1.05,3.16,1.34,1.15,1.91,3.73
"Glaittli v. State, 2014 UT 30.txt",1,3579,27.88,1.12,2.37,2.88,1.51,2.29,1.23,0.67,2.60,2.79
"Robinson v. Taylor, 2015 UT 69.txt",1,1811,29.93,1.44,3.15,1.88,1.60,3.31,1.21,0.39,2.98,2.15
"Salt Lake City Corp. v. Restoration Network, 2012 UT 84.txt",1,5617,28.13,1.51,4.93,1.89,1.34,2.42,1.14,1.28,2.87,2.28
"State v. Grunwald, 2020 UT 9.txt",1,7600,26.03,1.64,4.59,3.57,2.08,2.64,1.50,1.03,2.75,2.66
"Rupp v. Moffo, 2015 UT 71.txt",1,661,23.00,3.18,1.06,2.12,2.72,2.27,1.51,0.76,2.87,2.57
"E.T. v. R.K.B. (In re B.B.), 2017 UT 59.txt",1,2728,25.84,1.54,5.28,2.93,1.32,2.97,3.15,1.50,3.34,2.49
"Gladwell v. Reinhart (In re Reinhart), 2011 UT 77.txt",1,2725,28.11,1.91,3.82,3.23,1.98,2.64,1.87,1.76,2.42,2.75
"LeBeau v. State, 2014 UT 39.txt",1,4065,29.20,1.33,3.00,2.19,0.89,2.09,1.18,1.08,3.10,2.16
"State v. Houston, 2015 UT 36.txt",1,13332,28.65,1.29,2.76,1.31,1.02,2.39,1.16,1.13,3.51,2.09
"Winward v. State, 2012 UT 85.txt",1,3093,26.93,1.94,4.14,2.17,1.49,3.04,1.68,1.71,2.97,2.33
"Gregg v. State, 2012 UT 32.txt",1,4312,24.72,1.69,3.01,2.53,1.41,2.62,1.37,0.86,3.36,2.34
"Cook v. Bell, 2014 UT 46.txt",1,769,31.86,0.78,2.60,1.56,1.82,2.99,0.52,2.21,3.77,1.95
"Baby E.Z. v. T.I.Z, 2011 UT 38.txt",1,8797,27.77,1.40,3.94,2.24,0.86,3.01,1.25,0.55,3.16,2.61
"Salt Lake City v. Carrera, 2015 UT 73.txt",1,1771,26.54,2.88,5.25,1.98,2.32,3.67,1.52,0.73,3.78,3.84
"Nielsen v. Bell, 2016 UT 14.txt",1,4381,27.00,1.32,4.18,2.28,2.03,3.70,1.32,1.55,2.42,2.19
"Blanke v. Utah Bd. of Pardons & Parole, 2020 UT 16.txt",1,5937,25.67,2.00,3.74,1.57,1.62,2.07,1.68,1.58,4.09,2.56
"Meza v. State, 2015 UT 70.txt",1,1837,23.03,2.83,2.45,1.52,1.36,3.21,1.85,1.36,3.10,3.27
"Salt Lake Legal Defender Ass'n v. Atherton, 2011 UT 58.txt",1,1088,31.34,0.83,4.14,2.39,1.38,1.93,0.46,4.69,2.85,3.03
"Baker v. Carlson, 2018 UT 59.txt",1,377,22.55,1.86,4.77,2.65,1.59,2.39,2.65,1.33,6.63,2.92
"State v. Steed, 2015 UT 76.txt",1,1733,27.47,1.67,4.44,2.54,1.56,2.14,0.81,0.46,2.77,2.25
"State v. Rasabout, 2015 UT 72.txt",1,9366,26.13,1.27,5.29,2.47,1.23,3.21,1.61,0.57,3.76,2.55
"Blanke v. Utah Bd. of Pardons & Parole, 2020 UT 39.txt",1,5946,25.63,2.00,3.73,1.56,1.61,2.07,1.68,1.58,4.09,2.56
"State v. Clopten, 2015 UT 82.txt",1,2038,29.34,1.77,4.76,2.70,0.93,1.91,1.82,1.96,2.65,1.57
"Petersen v. Utah Labor Comm'n, 2017 UT 87.txt",1,147,21.09,0.68,2.04,3.40,0.68,2.04,0.68,0.68,2.04,0.68
"State v. Simons, 2013 UT 3.txt",1,1555,27.59,1.35,4.95,3.41,1.74,3.60,0.96,3.41,3.09,3.02
"Sandoval v. State, 2019 UT 13.txt",1,712,26.83,1.26,1.97,1.97,0.42,2.11,1.12,1.40,1.97,2.53
"State v. Houston, 2015 UT 40.txt",1,13333,28.64,1.29,2.76,1.31,1.02,2.39,1.16,1.13,3.51,2.09
"B.W.D. v. B.W. (In the Interest of S.W.), 2017 UT 37.txt",1,289,21.80,2.77,3.81,1.04,0.69,2.42,0.35,0.69,4.15,2.77
"Summum v. Pleasant Grove City, 2015 UT 31.txt",1,1230,29.67,2.20,1.95,2.03,2.44,2.93,0.81,0.89,2.93,3.74
"State v. Alexander, 2012 UT 27.txt",1,1758,25.71,2.56,4.04,2.33,0.97,2.73,2.10,1.25,3.30,2.84
"Gressman v. State, 2013 UT 63.txt",1,2249,26.01,1.60,3.33,3.47,0.98,2.40,1.78,0.53,3.16,2.98
"State v. Bird, 2015 UT 7.txt",1,1491,26.09,1.01,4.83,2.28,1.54,4.23,1.34,1.34,2.21,2.95
"State v. DeJesus, 2017 UT 22.txt",1,3710,26.95,1.08,2.96,2.29,1.40,1.99,1.35,1.86,3.72,2.05
"Porenta v. Porenta, 2017 UT 78.txt",1,5331,23.62,2.23,1.89,1.37,1.16,3.19,1.11,0.58,2.57,3.19
"Rutherford v. Talisker Canyons Fin., Co., LLC, 2019 UT 27.txt",1,8775,25.33,1.20,4.26,2.68,1.63,2.39,1.26,1.19,3.12,2.31
"Gregory v. Shurtleff, 2013 UT 18.txt",1,7498,28.27,1.55,2.41,1.76,1.32,2.07,1.80,1.80,3.03,2.43
"Met v. State, 2016 UT 51.txt",1,2570,24.12,1.79,2.10,1.32,1.17,2.76,2.41,1.28,4.16,3.15
"Butler v. Corp. of the President of the Church of Jesus Christ of Latter-day Saints, 2014 UT 41.txt",1,2260,23.85,1.11,2.70,1.86,1.33,1.55,1.02,1.46,3.27,1.68
"Wilson v. IHC Hosps., Inc., 2012 UT 43.txt",1,3085,25.90,2.07,3.76,2.59,1.43,2.40,1.36,1.26,3.47,2.98
"Federated Capital Corp. v. Libby, 2016 UT 41.txt",1,746,24.66,1.34,5.76,1.88,1.21,2.55,2.82,1.34,2.82,2.28
"Ray v. Wal-Mart Stores, Inc., 2015 UT 83.txt",1,7595,27.37,1.21,3.28,2.12,1.21,2.28,1.95,2.38,2.90,2.00
"Cox v. Laycock, 2015 UT 20.txt",1,4059,26.24,1.36,3.20,1.95,1.85,2.39,1.33,0.74,2.91,2.19
"Helf v. Chevron U.S.A. Inc., 2015 UT 81.txt",1,4861,27.28,1.07,2.43,2.14,1.52,2.28,1.69,0.86,2.47,2.78
"Neese v. Utah Bd. of Pardons & Parole, 2017 UT 89.txt",1,7399,26.83,1.55,4.88,1.80,1.46,2.77,1.57,0.99,3.50,2.34
"Barrientos v. Jones, 2012 UT 33.txt",1,1848,28.03,1.24,3.57,2.11,1.08,2.60,1.08,2.11,3.73,1.62
"State v. Walker, 2011 UT 53.txt",1,5183,28.32,1.58,4.36,2.30,1.29,2.82,1.83,0.85,2.86,3.43
"State v. Rowan, 2017 UT 88.txt",1,4240,27.88,1.30,4.58,2.03,1.11,2.15,1.63,1.23,3.66,3.37
"D.B. v. State, 2012 UT 65.txt",1,4011,27.42,1.60,2.64,1.67,2.14,2.87,1.40,1.27,3.34,2.62
"Bylsma v. Willey, 2017 UT 85.txt",1,5069,27.24,1.05,1.83,3.12,2.15,2.51,1.89,1.24,3.43,2.15
"Kuchcinski v. Box Elder Cty., 2019 UT 21.txt",1,353,29.46,1.98,2.83,0.85,2.27,1.42,0.00,0.28,6.23,1.98